NAME,FOUNDED_AT
LAUNCHPAD TOYS,3/1/2010
LAWPAL,1/1/2013
LAYER,3/1/2013
LE TOTE,1/1/2012
LEADSECURE,4/2/2014
LEANPLUM,1/1/2012
LEAP COMMERCE,1/1/2011
LEAP MOTION,10/1/2010
LEARN IMMERSIVE,1/1/2014
LEARNBOOST,1/1/2010
LEARNSPROUT,1/1/2012
LEARNSTREET,1/1/2012
LEARNUP,1/1/2011
LEGALREACH,1/1/2012
LEGITTRADER,1/1/2014
LENDA,8/18/2012
LENDING CLUB,1/1/2007
LENDLAYER,1/1/2014
LENDUP,11/21/2011
LEO,9/1/2013
LEVER,6/1/2012
LEXPLIQUE - /L_K ´ SPLIK/,1/1/2011
LIBRATAX,3/1/2014
LIBRATO,1/1/2011
LICENSE BUDDY,1/1/2013
LIFE360,1/1/2008
LIFENEXUS,1/1/2005
LIFT,9/22/2009
LIFT WORLDWIDE,8/22/2011
LIFX,1/1/2012
LIMK,6/1/2013
LIMOS.COM,8/1/2007
LINGUASTAT,12/1/2005
LINQIA,2/1/2012
LIQUIDM,1/1/2013
LIQUOR.COM,11/24/2008
LIT MOTORS,2/1/2010
LITHIUM TECHNOLOGIES,8/6/2001
LITTLECAST,1/1/2013
"LITTLECAST, INC.",3/1/2013
LIVBLENDS,1/1/2013
LIVEFYRE,12/1/2009
LIVELY INC.,9/1/2012
LIVEMINUTES,1/1/2011
LIVEVOL,1/1/2003
LOB,5/28/2013
LOCAID,2/15/2005
LOCALON,1/1/2010
LOCBOX,12/10/2010
LOCISH,2/21/2013
LOCKET,3/1/2013
LOCKITRON,5/1/2009
LOCUSLABS,1/1/2014
LOGGLY,8/1/2009
LOOKOUT,1/1/2007
LOOKSHARP (POWERING INTERNMATCH),6/1/2009
LOOMIA,1/1/2004
LOOPD,8/27/2013
LOOT!,4/1/2012
LOUDR,2/8/2013
LOUP,1/1/2014
LOYAL3,1/1/2008
LUCIDWORKS,1/1/2007
LUDEI,1/1/2011
LUKUP MEDIA,12/13/2010
LUMIFIC,8/1/2013
LUMINATE HEALTH,7/1/2012
LUMOS LABS,1/1/2005
LUXE VALET,6/1/2013
LUXR,8/1/2010
LYFT,1/1/2012
MADEIRACLOUD,6/1/2011
"MADISON REED, INC.",1/1/2013
MAESTRO MARKET,1/1/2008
MAILTIME,3/20/2013
MAMAPEDIA,1/1/2004
MANGO HEALTH,2/1/2012
MANYWHO,5/1/2013
"MAP2APP, INC.",4/1/2012
MAPD,9/1/2013
MARIN SOFTWARE,4/1/2006
MARINE DRIVE MOBILE,1/1/2007
MARINELAYER,3/1/2009
MARK ONE,12/24/2013
MARKETCETERA,1/1/2006
MASHAPE,1/1/2010
MASSDROP,7/1/2012
MATERNA MEDICAL,6/1/2007
MATTERMARK,6/4/2013
MAVEN,2/1/2008
MAVENTUS GROUP INC,10/1/2013
MAVRX,1/1/2012
MEASY,12/1/2008
"MECHIO, INC. (DBA MOTIV)",1/1/2013
MEDIA MACHINES,1/1/2000
MEDIUM,7/18/2011
MEDLERT,1/1/2011
MEDRIO,1/1/2005
MEEP,1/1/2008
MEEZ,3/20/2009
MEMEBOX CORPORATION,2/7/2012
MEMOROP,7/1/2014
MEMSQL,1/1/2011
MENTORCLOUD,4/10/2013
MEOGRAPH,1/1/2012
MESSAGE BUS,8/26/2010
METABIOTA,1/1/2008
METACERT,3/1/2011
METAMARKETS,5/1/2010
METRIC INSIGHTS,1/1/2010
METROMILE,6/1/2011
MEVIO,10/1/2004
MIGHTYHIVE,7/1/2012
MIGO.ME,2/1/2013
MILEIQ,10/11/2012
MINBOX,4/1/2012
MINDIE,10/1/2013
MINDSNACKS,5/1/2010
MINDSUMO,11/1/2011
MINGLY,1/1/2010
MINOMONSTERS,1/1/2011
MINTED,8/1/2007
MISELU INC.,4/14/2008
MISSION MOTORS,8/9/2007
MIST.IO,7/31/2013
MISTERBNB,4/10/2013
MIXAMO,7/18/2008
MIXED MEDIA LABS,1/1/2009
MIXMAX,6/1/2014
MIXPANEL,6/20/2009
MIXRANK,1/1/2011
MNECTAR,11/1/2012
MOASIS GLOBAL,1/1/2009
MOBILE ACTION,6/10/2013
MOBISSIMO,10/1/2003
MOBSOC MEDIA,1/1/2012
MOCANA,1/1/2004
MODCLOTH,7/18/2002
MODLAR,9/7/2008
MODULEQ,1/1/2011
MONKIMUN,1/1/2014
MOONTOAST,2/1/2008
MOOVWEB,1/1/2010
MOTION MATH,8/26/2010
MOVE LOOT,1/1/2013
MOVIGO,1/1/2013
MOZIO,1/1/2011
MOZIY,1/1/2013
MULESOFT,1/1/2006
MUNCHERY,4/1/2011
MURAL.LY,11/22/2011
MUZICO INTERNATIONAL,9/1/2013
MUZY,1/1/2011
MXHERO,6/1/2012
MYACTIVITYPAL,1/1/2014
MYFITNESSPAL,1/1/2005
MYHEALTHTEAMS,1/1/2010
MYLIKES,1/1/2010
MYORDER,1/1/2009
